"filename", "language", "JavaScript", "HTML", "vue", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\桌面\newProject\admin\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 5, 20
"d:\桌面\newProject\admin\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\桌面\newProject\admin\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 19, 0, 1, 20
"d:\桌面\newProject\admin\package-lock.json", "JSON", 0, 0, 0, 0, 12118, 0, 0, 1, 12119
"d:\桌面\newProject\admin\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 1, 32
"d:\桌面\newProject\admin\public\index.html", "HTML", 0, 16, 0, 0, 0, 0, 1, 1, 18
"d:\桌面\newProject\admin\src\App.vue", "vue", 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\桌面\newProject\admin\src\components\editor\Editor.vue", "vue", 0, 0, 68, 0, 0, 0, 0, 14, 82
"d:\桌面\newProject\admin\src\components\mainbox\SideMenu.vue", "vue", 0, 0, 87, 0, 0, 0, 0, 3, 90
"d:\桌面\newProject\admin\src\components\mainbox\TopHeader.vue", "vue", 0, 0, 69, 0, 0, 0, 0, 5, 74
"d:\桌面\newProject\admin\src\components\upload\Upload.vue", "vue", 0, 0, 58, 0, 0, 0, 0, 8, 66
"d:\桌面\newProject\admin\src\components\upload\UploadModel.vue", "vue", 0, 0, 60, 0, 0, 0, 0, 5, 65
"d:\桌面\newProject\admin\src\main.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\桌面\newProject\admin\src\router\config.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 3, 92
"d:\桌面\newProject\admin\src\router\index.js", "JavaScript", 74, 0, 0, 0, 0, 0, 12, 8, 94
"d:\桌面\newProject\admin\src\store\index.js", "JavaScript", 35, 0, 0, 0, 0, 0, 1, 2, 38
"d:\桌面\newProject\admin\src\util\axios.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 12, 5, 45
"d:\桌面\newProject\admin\src\util\formatTime.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 0, 9
"d:\桌面\newProject\admin\src\util\upload.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\桌面\newProject\admin\src\views\Login.vue", "vue", 0, 0, 187, 0, 0, 0, 3, 3, 193
"d:\桌面\newProject\admin\src\views\MainBox.vue", "vue", 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\桌面\newProject\admin\src\views\center\Center.vue", "vue", 0, 0, 131, 0, 0, 0, 0, 6, 137
"d:\桌面\newProject\admin\src\views\home\Home.vue", "vue", 0, 0, 82, 0, 0, 0, 0, 10, 92
"d:\桌面\newProject\admin\src\views\news-manage\NewsAdd.vue", "vue", 0, 0, 105, 0, 0, 0, 0, 7, 112
"d:\桌面\newProject\admin\src\views\news-manage\NewsEdit.vue", "vue", 0, 0, 117, 0, 0, 0, 1, 10, 128
"d:\桌面\newProject\admin\src\views\news-manage\NewsList.vue", "vue", 0, 0, 126, 0, 0, 0, 0, 8, 134
"d:\桌面\newProject\admin\src\views\notfound\NotFound.vue", "vue", 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\桌面\newProject\admin\src\views\product-manage\ProductAdd.vue", "vue", 0, 0, 72, 0, 0, 0, 0, 4, 76
"d:\桌面\newProject\admin\src\views\product-manage\ProductEdit.vue", "vue", 0, 0, 86, 0, 0, 0, 0, 6, 92
"d:\桌面\newProject\admin\src\views\product-manage\ProductList.vue", "vue", 0, 0, 72, 0, 0, 0, 0, 6, 78
"d:\桌面\newProject\admin\src\views\show-dailyNecessities\DailyNecessitiesAdd.vue", "vue", 0, 0, 94, 0, 0, 0, 0, 6, 100
"d:\桌面\newProject\admin\src\views\show-dailyNecessities\DailyNecessitiesEdit.vue", "vue", 0, 0, 85, 0, 0, 0, 0, 7, 92
"d:\桌面\newProject\admin\src\views\show-dailyNecessities\DailyNecessitiesList.vue", "vue", 0, 0, 77, 0, 0, 0, 0, 6, 83
"d:\桌面\newProject\admin\src\views\user-manage\addUser.vue", "vue", 0, 0, 97, 0, 0, 0, 0, 3, 100
"d:\桌面\newProject\admin\src\views\user-manage\userList.vue", "vue", 0, 0, 161, 0, 0, 0, 0, 8, 169
"d:\桌面\newProject\admin\vue.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 2, 15
"Total", "-", 281, 16, 1877, 15, 12149, 19, 32, 161, 14550
